t,dim_1
226,8.046558500940674e-5
227,8.04648123010165e-5
228,8.046404059592783e-5
229,8.04632698941215e-5
230,8.046250019557824e-5
231,8.04617315002788e-5
232,8.046096380820393e-5
233,8.04601971193345e-5
234,8.045943143365132e-5
235,8.045866675113525e-5
236,8.045790307176718e-5
237,8.045714039552803e-5
238,8.045637872239867e-5
239,8.045561805236015e-5
240,8.045485838539334e-5
241,8.045409972147934e-5
242,8.045334206059911e-5
243,8.045258540273377e-5
244,8.045182974786438e-5
245,8.045107509597205e-5
246,8.04503214470379e-5
247,8.044956880104312e-5
248,8.044881715796885e-5
249,8.044806651779638e-5
250,8.044731688050688e-5
251,8.044656824608161e-5
252,8.044582061450185e-5
253,8.044507398574896e-5
254,8.044432835980421e-5
255,8.044358373664896e-5
256,8.044284011626465e-5
257,8.044209749863266e-5
258,8.044135588373448e-5
259,8.044061527155144e-5
260,8.04398756620651e-5
261,8.043913705525702e-5
262,8.043839945110866e-5
263,8.043766284960164e-5
264,8.043692725071743e-5
265,8.043619265443775e-5
266,8.043545906074422e-5
267,8.043472646961848e-5
268,8.043399488104222e-5
269,8.043326429499714e-5
270,8.043253471146501e-5
271,8.043180613042751e-5
272,8.043107855186651e-5
273,8.043035197576378e-5
274,8.042962640210121e-5
275,8.042890183086061e-5
276,8.042817826202389e-5
277,8.042745569557286e-5
278,8.042673413148963e-5
279,8.0426013569756e-5
280,8.042529401035411e-5
281,8.042457545326582e-5
282,8.042385789847325e-5
283,8.042314134595846e-5
284,8.042242579570349e-5
285,8.042171124769049e-5
286,8.04209977019016e-5
287,8.042028515831897e-5
288,8.041957361692484e-5
289,8.041886307770128e-5
290,8.041815354063068e-5
291,8.041744500569522e-5
292,8.041673747287717e-5
293,8.041603094215887e-5
294,8.041532541352272e-5
295,8.041462088695098e-5
296,8.041391736242611e-5
297,8.041321483993049e-5
298,8.041251331944652e-5
299,8.041181280095672e-5
300,8.04111132844436e-5
301,8.04104147698896e-5
302,8.040971725727726e-5
303,8.04090207465892e-5
304,8.0408325237808e-5
305,8.040763073091619e-5
306,8.040693722589652e-5
307,8.040624472273156e-5
308,8.040555322140407e-5
309,8.040486272189671e-5
310,8.040417322419227e-5
311,8.040348472827344e-5
312,8.040279723412304e-5
313,8.040211074172396e-5
314,8.04014252510589e-5
315,8.040074076211077e-5
316,8.040005727486251e-5
317,8.039937478929701e-5
318,8.039869330539718e-5
319,8.039801282314601e-5
320,8.039733334252647e-5
321,8.039665486352156e-5
322,8.039597738611439e-5
323,8.039530091028793e-5
324,8.03946254360253e-5
325,8.039395096330969e-5
326,8.03932774921241e-5
327,8.03926050224518e-5
328,8.039193355427595e-5
329,8.039126308757974e-5
330,8.039059362234642e-5
331,8.038992515855928e-5
332,8.038925769620158e-5
333,8.038859123525664e-5
334,8.038792577570778e-5
335,8.038726131753841e-5
336,8.038659786073188e-5
337,8.03859354052716e-5
338,8.038527395114107e-5
339,8.038461349832367e-5
340,8.038395404680295e-5
341,8.038329559656236e-5
342,8.038263814758549e-5
343,8.038198169985592e-5
344,8.038132625335718e-5
345,8.038067180807292e-5
346,8.038001836398676e-5
347,8.037936592108237e-5
348,8.037871447934347e-5
349,8.037806403875375e-5
350,8.037741459929698e-5
351,8.037676616095687e-5
352,8.03761187237172e-5
353,8.037547228756183e-5
354,8.03748268524746e-5
355,8.037418241843935e-5
356,8.037353898543999e-5
357,8.037289655346047e-5
358,8.037225512248459e-5
359,8.037161469249648e-5
360,8.037097526347998e-5
361,8.037033683541922e-5
362,8.036969940829825e-5
363,8.036906298210097e-5
364,8.036842755681167e-5
365,8.036779313241436e-5
366,8.036715970889319e-5
367,8.036652728623233e-5
368,8.036589586441598e-5
369,8.036526544342835e-5
370,8.036463602325365e-5
371,8.036400760387617e-5
372,8.03633801852802e-5
373,8.036275376745004e-5
374,8.036212835037009e-5
375,8.036150393402462e-5
376,8.036088051839806e-5
377,8.036025810347485e-5
378,8.035963668923941e-5
379,8.03590162756762e-5
380,8.035839686276976e-5
381,8.03577784505045e-5
382,8.035716103886504e-5
383,8.035654462783593e-5
384,8.035592921740177e-5
385,8.035531480754715e-5
386,8.035470139825669e-5
387,8.035408898951512e-5
388,8.035347758130707e-5
389,8.035286717361725e-5
390,8.035225776643048e-5
391,8.035164935973144e-5
392,8.035104195350498e-5
393,8.035043554773587e-5
394,8.034983014240896e-5
395,8.034922573750914e-5
396,8.034862233302128e-5
397,8.034801992893028e-5
398,8.034741852522111e-5
399,8.034681812187872e-5
400,8.034621871888807e-5
401,8.034562031623424e-5
402,8.034502291390223e-5
403,8.03444265118771e-5
404,8.034383111014396e-5
405,8.034323670868793e-5
406,8.034264330749412e-5
407,8.034205090654768e-5
408,8.034145950583384e-5
409,8.034086910533781e-5
410,8.034027970504483e-5
411,8.033969130494018e-5
412,8.033910390500911e-5
413,8.033851750523699e-5
414,8.033793210560909e-5
415,8.033734770611082e-5
416,8.033676430672757e-5
417,8.033618190744474e-5
418,8.033560050824776e-5
419,8.033502010912214e-5
420,8.033444071005334e-5
421,8.033386231102686e-5
422,8.033328491202825e-5
423,8.033270851304312e-5
424,8.033213311405696e-5
425,8.033155871505546e-5
426,8.033098531602429e-5
427,8.033041291694904e-5
428,8.032984151781546e-5
429,8.032927111860922e-5
430,8.032870171931607e-5
431,8.032813331992175e-5
432,8.032756592041215e-5
433,8.032699952077297e-5
434,8.032643412099011e-5
435,8.032586972104941e-5
436,8.032530632093676e-5
437,8.03247439206381e-5
438,8.032418252013934e-5
439,8.032362211942649e-5
440,8.032306271848553e-5
441,8.032250431730238e-5
442,8.032194691586319e-5
443,8.032139051415399e-5
444,8.03208351121609e-5
445,8.032028070986997e-5
446,8.03197273072674e-5
447,8.03191749043393e-5
448,8.031862350107195e-5
449,8.031807309745146e-5
450,8.031752369346413e-5
451,8.031697528909622e-5
452,8.0316427884334e-5
453,8.031588147916378e-5
454,8.031533607357195e-5
455,8.031479166754482e-5
456,8.031424826106881e-5
457,8.031370585413033e-5
458,8.03131644467158e-5
459,8.031262403881167e-5
460,8.031208463040452e-5
461,8.031154622148075e-5
462,8.031100881202695e-5
463,8.031047240202972e-5
464,8.030993699147563e-5
465,8.030940258035124e-5
466,8.030886916864327e-5
467,8.030833675633831e-5
468,8.03078053434231e-5
469,8.030727492988433e-5
470,8.030674551570876e-5
471,8.03062171008832e-5
472,8.030568968539431e-5
473,8.030516326922901e-5
474,8.030463785237415e-5
475,8.03041134348165e-5
476,8.030359001654302e-5
477,8.030306759754062e-5
478,8.030254617779623e-5
479,8.030202575729679e-5
480,8.030150633602933e-5
481,8.030098791398085e-5
482,8.030047049113837e-5
483,8.029995406748894e-5
484,8.02994386430197e-5
485,8.029892421771777e-5
486,8.029841079157026e-5
487,8.029789836456432e-5
488,8.029738693668718e-5
489,8.029687650792599e-5
490,8.029636707826807e-5
491,8.029585864770065e-5
492,8.029535121621101e-5
493,8.029484478378645e-5
494,8.029433935041435e-5
495,8.029383491608203e-5
496,8.02933314807769e-5
497,8.02928290444864e-5
498,8.029232760719796e-5
499,8.029182716889899e-5
500,8.029132772957702e-5
501,8.029082928921956e-5
502,8.029033184781415e-5
503,8.028983540534839e-5
504,8.028933996180979e-5
505,8.028884551718601e-5
506,8.02883520714647e-5
507,8.028785962463353e-5
508,8.02873681766801e-5
509,8.028687772759224e-5
510,8.028638827735761e-5
511,8.028589982596402e-5
512,8.028541237339923e-5
513,8.028492591965112e-5
514,8.028444046470744e-5
515,8.028395600855608e-5
516,8.0283472551185e-5
517,8.028299009258199e-5
518,8.028250863273505e-5
519,8.028202817163217e-5
520,8.028154870926127e-5
521,8.028107024561043e-5
522,8.028059278066769e-5
523,8.028011631442109e-5
524,8.027964084685871e-5
525,8.027916637796865e-5
526,8.027869290773906e-5
527,8.027822043615812e-5
528,8.027774896321403e-5
529,8.027727848889495e-5
530,8.027680901318917e-5
531,8.02763405360849e-5
532,8.027587305757052e-5
533,8.027540657763424e-5
534,8.027494109626447e-5
535,8.027447661344955e-5
536,8.027401312917782e-5
537,8.027355064343777e-5
538,8.02730891562178e-5
539,8.027262866750639e-5
540,8.027216917729196e-5
541,8.027171068556311e-5
542,8.027125319230838e-5
543,8.027079669751626e-5
