t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7
396,0.014249717087122585,0.02103591783678197,0.12159526144005522,0.02321920237839537,0.0001163240160852039,1.471274004788606e-6,3.2968930370615e-8
397,0.014249717087114179,0.021035917836432154,0.12159526000186756,0.023218638885566988,0.0001160977390743252,1.4690716284155322e-6,3.29635774416185e-8
398,0.014249717087106383,0.02103591783603421,0.121595258380457,0.02321800272325686,0.0001158759146142006,1.4668481394962564e-6,3.295861071999598e-8
399,0.014249717087099172,0.02103591783558561,0.12159525656666106,0.023217290203689327,0.00011565851899149295,1.4646042451483673e-6,3.29540129853896e-8
400,0.014249717087092526,0.021035917835083757,0.12159525455165772,0.023216497775447386,0.00011544552708389133,1.462340657427001e-6,3.294976733213326e-8
401,0.014249717087086413,0.02103591783452618,0.12159525232696368,0.023215622022774454,0.00011523691239551223,1.4600580927657686e-6,3.294585716845661e-8
402,0.01424971708708081,0.021035917833910567,0.121595249884433,0.023214659664818876,0.00011503264709237233,1.4577572714286319e-6,3.294226621560448e-8
403,0.014249717087075673,0.021035917833234635,0.1215952472162542,0.02321360755482229,0.00011483270203790458,1.4554389169731411e-6,3.29389785068783e-8
404,0.014249717087071016,0.02103591783249637,0.12159524431494886,0.023212462679252383,0.0001146370468284802,1.4531037557243627e-6,3.293597838659447e-8
405,0.014249717087066776,0.021035917831693545,0.12159524117336869,0.02321122215688314,0.00011444564982895456,1.450752516260291e-6,3.29332505089673e-8
406,0.014249717087062953,0.021035917830824268,0.12159523778469335,0.023209883237822755,0.00011425847820818176,1.448385928908027e-6,3.2930779836914025e-8
407,0.014249717087059516,0.021035917829886657,0.1215952341424278,0.023208443302492124,0.00011407549797451802,1.4460047252510503e-6,3.292855164078375e-8
408,0.014249717087056434,0.021035917828878783,0.12159523024039941,0.02320689986055314,0.00011389667401124568,1.4436096376473965e-6,3.292655149701291e-8
409,0.014249717087053693,0.021035917827799178,0.12159522607275604,0.023205250549790946,0.00011372197011195708,1.441201398758839e-6,3.2924765286707894e-8
410,0.014249717087051264,0.02103591782664597,0.12159522163396186,0.023203493134948863,0.00011355134901583077,1.4387807410908799e-6,3.292317919415603e-8
411,0.014249717087049148,0.021035917825417864,0.12159521691879517,0.02320162550652026,0.00011338477244282616,1.436348396543674e-6,3.2921779705267e-8
412,0.01424971708704728,0.02103591782411324,0.12159521192234476,0.02319964567949626,0.0001132222011287449,1.4339050959736967e-6,3.29205536059457e-8
413,0.014249717087045683,0.021035917822730864,0.12159520664000735,0.023197551792072606,0.00011306359486016977,1.431451568766115e-6,3.291948798039746e-8
414,0.014249717087044304,0.02103591782126936,0.12159520106748316,0.023195342104316077,0.00011290891250924431,1.4289885424179332e-6,3.291857020936834e-8
415,0.014249717087043135,0.021035917819727572,0.12159519520077317,0.02319301499679192,0.0001127581120682981,1.4265167421317149e-6,3.291778796832078e-8
416,0.014249717087042146,0.02103591781810446,0.1215951890361762,0.02319056896915489,0.00011261115068429564,1.4240368904199643e-6,3.291712922554667e-8
417,0.014249717087041352,0.021035917816399005,0.12159518257028379,0.023188002638703124,0.00011246798469307078,1.4215497067198784e-6,3.2916582240219254e-8
418,0.014249717087040696,0.02103591781461016,0.12159517579997742,0.023185314738898913,0.00011232856965338786,1.4190559070187005e-6,3.291613556038457e-8
419,0.014249717087040176,0.02103591781273716,0.1215951687224245,0.023182504117855305,0.0001121928603807592,1.4165562034894148e-6,3.291577802089517e-8
420,0.014249717087039789,0.021035917810779223,0.12159516133507499,0.023179569736791805,0.00011206081098103547,1.4140513041367235e-6,3.291549874128672e-8
421,0.01424971708703949,0.021035917808735684,0.12159515363565665,0.023176510668458848,0.00011193237488375242,1.4115419124533032e-6,3.291528712359897e-8
422,0.014249717087039263,0.02103591780660579,0.12159514562217147,0.023173326095534838,0.00011180750487522571,1.4090287270862787e-6,3.29151328501429e-8
423,0.014249717087039126,0.021035917804389057,0.12159513729289123,0.02317001530899404,0.00011168615313136634,1.406512441513706e-6,3.291502588121515e-8
424,0.014249717087039045,0.021035917802085042,0.12159512864635413,0.02316657770644904,0.00011156827125021601,1.4039937437311716e-6,3.291495645276195e-8
425,0.014249717087038996,0.021035917799693316,0.12159511968135955,0.023163012790468195,0.00011145381028419829,1.4014733159482315e-6,3.2914915073992666e-8
426,0.014249717087038979,0.0210359177972136,0.12159511039696469,0.023159320166869404,0.0001113427207720589,1.3989518342948323e-6,3.2914892524945836e-8
427,0.014249717087038935,0.021035917794645514,0.12159510079247951,0.023155499542991557,0.00011123495277050104,1.3964299685374648e-6,3.291487985400857e-8
428,0.01424971708703892,0.02103591779198902,0.12159509086746277,0.02315155072594508,0.00011113045588548605,1.3939083818049025e-6,3.291486837539013e-8
429,0.014249717087038883,0.02103591778924393,0.1215950806217175,0.023147473620842882,0.00011102917930321302,1.391387730323699e-6,3.291484966655256e-8
430,0.01424971708703881,0.02103591778641016,0.12159507005528651,0.023143268229012345,0.00011093107182074458,1.3888686631630846e-6,3.2914815565598896e-8
431,0.0142497170870387,0.021035917783487817,0.121595059168448,0.02313893464619065,0.00011083608187629799,1.3863518219893815e-6,3.291475816861998e-8
432,0.014249717087038517,0.021035917780476893,0.12159504796171057,0.023134473060703903,0.00011074415757915553,1.3838378408296512e-6,3.291466982700307e-8
433,0.014249717087038287,0.02103591777737758,0.12159503643580935,0.023129883751631473,0.00011065524673922858,1.3813273458446437e-6,3.291454314470154e-8
434,0.014249717087037969,0.021035917774190085,0.12159502459170034,0.023125167086956708,0.00011056929689622503,1.3788209551108168e-6,3.291437097546867e-8
