t,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,σ2_1,σ2_2,σ2_3,σ2_4,σ2_5,σ2_6
471,1490.5522754553376,79.77746030078968,5.002792637487086,-0.15371568400260807,-0.016707677748476476,-0.0005702457740239623,0.01424971703890307,0.02103591041385157,0.12156827301652565,0.012424738812835819,1.5824226880964194e-5,8.358408538051603e-8
472,1498.5550097598575,80.2769682009195,4.92745269786335,-0.15538930803490364,-0.01676471383397411,-0.0005699132757089138,0.014249717038902446,0.021035910409629707,0.12156825780372323,0.012418660561943885,1.58173458009375e-5,8.339854523810442e-8
473,1506.607317875786,80.76893372941596,4.840921682262336,-0.15706863390883224,-0.01682171617184868,-0.0005695796515602679,0.014249717038901807,0.021035910405379384,0.12156824248874769,0.012412541351698352,1.5810694710221742e-5,8.321471058703339e-8
474,1514.7083896079007,81.25223775032106,4.7430345970147885,-0.1587536582259173,-0.016878684660843996,-0.0005692449508072654,0.014249717038901176,0.021035910401100928,0.12156822707295659,0.012406381724450608,1.5804268857887267e-5,8.303257213098119e-8
475,1522.857302028344,81.72574462791115,4.6340251709556375,-0.16044437757834695,-0.01693561920649089,-0.00056890922145122,0.014249717038900567,0.021035910396794862,0.12156821155771631,0.012400182226171412,1.5798063544901044e-5,8.285212056902724e-8
476,1531.0530198100707,82.1883420993708,4.515819582400608,-0.1621407885501885,-0.01699251972070565,-0.0005685725100966073,0.014249717038899946,0.021035910392461415,0.12156819594440181,0.012393943406302128,1.5792074123847397e-5,8.267334659620645e-8
477,1539.2944060275045,82.63911052004403,4.391018046996738,-0.16384288772160513,-0.017049386121608678,-0.000568234861783967,0.01424971703889932,0.02103591038810099,0.12156818023439638,0.012387665817607639,1.5786295998647536e-5,8.249624090405879e-8
478,1547.580244796629,83.0773902666912,4.262439123465413,-0.16555067166775486,-0.01710621833286339,-0.0005678963198691889,0.014249717038898697,0.021035910383714024,0.12156816442909106,0.01238135001603116,1.5780724624279222e-5,8.232079418117716e-8
479,1555.909268358636,83.50280357231553,4.132564860762908,-0.1672641369612039,-0.017163016282999433,-0.0005675569259423625,0.01424971703889807,0.021035910379300887,0.12156814852988469,0.012374996560550728,1.5775355506495143e-5,8.214699711375121e-8
480,1564.280183596082,83.9152208743936,4.00378542669523,-0.16898328017225422,-0.017219779904890327,-0.0005672167197942885,0.014249717038897453,0.021035910374861976,0.12156813253818302,0.012368606013037502,1.577018420154166e-5,8.197484038610863e-8
481,1572.6916963764397,84.3147516277436,3.8780656417154176,-0.17070809786852056,-0.017276509135203146,-0.000566875739412648,0.014249717038896817,0.021035910370397676,0.12156811645539868,0.01236217893811572,1.5765206315875597e-5,8.180431468125139e-8
482,1581.1425333458858,84.70170176886984,3.756438669722377,-0.1724385866116201,-0.01733320391389824,-0.0005665340210180872,0.014249717038896203,0.02103591036590843,0.12156810028295119,0.012355715903024448,1.5760417505882217e-5,8.163541068139169e-8
483,1589.6314569075485,85.07648055056092,3.640562343417306,-0.17417474296124277,-0.017389864183886255,-0.0005661915991263956,0.014249717038895562,0.021035910361394523,0.12156808402226532,0.012349217477481087,1.5755813477591096e-5,8.146811906848136e-8
484,1598.157278674645,85.43966300920249,3.5321279704485122,-0.17591656347427728,-0.017446489890551257,-0.0005658485066294034,0.014249717038894938,0.02103591035685647,0.1215680676747725,0.012342684233546475,1.5751389986392838e-5,8.130243052474044e-8
485,1606.7188762239612,85.79199331193612,3.4319676815601423,-0.17766404470340869,-0.0175030809813604,-0.0005655047749030565,0.014249717038894313,0.021035910352294535,0.12156805124190921,0.012336116745491845,1.57471428367548e-5,8.113833573318165e-8
486,1615.3152057112607,86.13429883881037,3.3407249410309525,-0.1794171831987478,-0.01755963740557363,-0.0005651604339379222,0.014249717038893701,0.021035910347709283,0.12156803472511717,0.01232951558966727,1.5743067881935866e-5,8.097582537813029e-8
487,1623.9453092426063,86.46747131663072,3.2584569314456324,-0.18117597550453418,-0.017616159114017916,-0.000564815512474271,0.014249717038893092,0.021035910343101066,0.12156801812584284,0.01232288134437215,1.573916102370246e-5,8.081489014574357e-8
488,1632.6083183876997,86.7924081902903,3.1842421813915975,-0.18294041816074647,-0.01767264605894519,-0.0005644700381521424,0.014249717038892488,0.021035910338470232,0.1215680014455373,0.012316214589726903,1.5735418212042272e-5,8.065552072452339e-8
489,1641.303449851009,87.10991475760862,3.116624619361337,-0.1847105076994296,-0.017729098194062962,-0.0005641240376500799,0.014249717038891878,0.02103591033381721,0.12156798468565574,0.012309515907546744,1.573183544487869e-5,8.049770780582726e-8
490,1650.0299935883659,87.42065070911347,3.0539246255110575,-0.18648624064749733,-0.017785515474639524,-0.0005637775368059817,0.014249717038891267,0.021035910329142406,0.12156796784765747,0.012302785881216765,1.5728408767784567e-5,8.034144208437595e-8
491,1658.7872971218949,87.725107773701,2.9936995969837756,-0.18826761352295346,-0.017841897857698158,-0.0005634305607089931,0.014249717038890657,0.021035910324446187,0.12156795093300482,0.012296025095569034,1.5725134273696467e-5,8.018671425875783e-8
492,1667.5747449410487,88.02353341956162,2.9330758264369594,-0.19005462283526048,-0.01789824530243188,-0.0005630831337655967,0.014249717038890051,0.021035910319728988,0.12156793394316377,0.012289234136760975,1.5722008102627157e-5,8.003351503192797e-8
493,1676.3917319115067,88.31588774395634,2.8707671277811357,-0.19184726508729338,-0.01795455777041179,-0.0005627352797139322,0.014249717038889453,0.021035910314991278,0.1215679168796034,0.012282413592155612,1.5719026441379217e-5,7.98818351117063e-8
494,1685.2376424718552,88.60200222592093,2.8066096972592747,-0.1936455367767076,-0.018010835225877823,-0.0005623870216148237,0.01424971703888885,0.021035910310233382,0.12156789974379513,0.012275564050203296,1.5716185523257743e-5,7.973166521127052e-8
495,1694.1118433953109,88.8816919639257,2.7410529602702276,-0.19544943439746046,-0.01806707763559698,-0.0005620383818217829,0.01424971703888823,0.021035910305455735,0.12156788253721293,0.012268686100325143,1.571348162778287e-5,7.958299604964568e-8
496,1703.0136852096027,89.1548169990374,2.675675565471788,-0.19725895444169309,-0.018123284968757505,-0.0005616893819636423,0.014249717038887623,0.02103591030065876,0.12156786526133269,0.012261780332797999,1.571091108040211e-5,7.94358183521907e-8
