t,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1469,-361447.8225555499,-13466.887474921761,-433.0195104427247,-11.128535107673557,-0.19844419032662766,-0.00206879795762715
1470,-362796.6782338765,-13510.245114957954,-434.06942748788947,-11.148363045285679,-0.19869703841993333,-0.0020346139520698303
1471,-364149.8749594915,-13553.707859849776,-435.39645933213734,-11.168321858064958,-0.1988850245587408,-0.0020134248689094632
1472,-365507.42455590586,-13597.303418505462,-436.3572442346222,-11.18824988709708,-0.19914413568265651,-0.0019788928314291064
1473,-366869.3385372643,-13640.9950870953,-437.4828157352405,-11.208114111632218,-0.19939631234653143,-0.001976491503051367
1474,-368235.6272720715,-13684.799495398127,-438.5581093738649,-11.228049672912334,-0.19958530082695639,-0.0020156345873504813
1475,-369606.3018886745,-13728.711468603924,-439.6922188262926,-11.248028836605725,-0.19976931895711875,-0.0020453942000452905
1476,-370981.3733869866,-13772.736949931743,-441.16836641202855,-11.268048210008029,-0.20005435926597567,-0.002053414955280111
1477,-372360.8547627306,-13816.910134258887,-442.52550910307184,-11.288046373856616,-0.20026415094809638,-0.002070244866574119
1478,-373744.76028515515,-13861.219179662097,-443.6337063295544,-11.308074072769529,-0.2004449482435877,-0.002019025528769346
1479,-375133.10221623495,-13905.639127419041,-444.820435058405,-11.328095049973985,-0.20061968693392507,-0.0019937922103889514
1480,-376525.8920742475,-13950.177826191424,-446.0451552634601,-11.348182406545275,-0.20078863600716584,-0.0020250577111869325
1481,-377923.141999318,-13994.839150747883,-447.3437472680493,-11.368249180995523,-0.20097467369151692,-0.0020158734693263036
1482,-379324.86452560796,-14039.63037090328,-448.8926276588222,-11.38835339784401,-0.2011557354373926,-0.0019392555597983214
1483,-380731.07395445654,-14084.576592939155,-450.00053336210857,-11.408486059700696,-0.20143439248885403,-0.0019244779193609053
1484,-382141.7834939048,-14129.633740208965,-451.3121377496999,-11.428628497055838,-0.20159985920069903,-0.001915111289548613
1485,-383557.00531253434,-14174.822131767058,-452.22465088088927,-11.448830633838,-0.20177435520449158,-0.0019235703665470847
1486,-384976.75058704463,-14220.101779899904,-453.1783781389568,-11.469057267956982,-0.20199944096819591,-0.0019075245506707298
1487,-386401.02858889406,-14265.476992845994,-454.2141234535751,-11.489230536867094,-0.20215888216666392,-0.0018887001364694875
1488,-387829.8492955135,-14310.9558603869,-455.4924096950218,-11.50944556857166,-0.202425035610013,-0.001934005890460285
1489,-389263.2242569444,-14356.562738827839,-456.72239599768915,-11.529714417722966,-0.20267774694524388,-0.001965479751352803
1490,-390701.16606251826,-14402.292660363111,-457.7958227326311,-11.549973456531061,-0.20287139765046616,-0.0019438647261182163
1491,-392143.6862829675,-14448.130001455069,-458.52247072839305,-11.57023806041983,-0.2030920705848596,-0.00198881246554376
1492,-393590.79382517206,-14494.040126119622,-459.56836712115256,-11.59061461983349,-0.20330137636175757,-0.0019912727382925873
1493,-395042.4975930452,-14540.054952955137,-460.73933777439106,-11.61094257272457,-0.20346517182827345,-0.0019302623115284151
1494,-396498.8086951857,-14586.186966058573,-461.6985729379793,-11.631260980799679,-0.20365815797026807,-0.0019106687305321267
1495,-397959.7378330834,-14632.41505782701,-463.13702679240964,-11.651661929497303,-0.203886928903402,-0.0018949395424602594
1496,-399425.29694315034,-14678.78704831828,-464.27890647969895,-11.672044508405756,-0.20406252919408754,-0.0018833043042211497
1497,-400895.4989630175,-14725.273306257175,-465.24086182660767,-11.692410523765325,-0.20428953815407036,-0.0018687045725164228
