step,position,velocity,action
96,0.7424799891942054,0.00637544063959785,1.5191686706724623
97,0.7536727468686403,0.011192757674434825,1.4707145164513462
98,0.759328332378074,0.005655585509433635,0.7701075943480091
99,0.7645093533779415,0.005181020999867465,0.9886782986512079
100,0.7547373719634937,-0.009771981414447756,0.413002110265522
101,0.7499544067683547,-0.00478296519513894,1.2826241974795944
102,0.7385045608910622,-0.011449845877292454,0.6635960138112456
103,0.7345675301778909,-0.003937030713171259,1.620359421110855
104,0.7340083497653198,-0.0005591804125711086,1.228774946280102
105,0.7333604984784932,-0.0006478512868266229,1.0065007354623954
106,0.7333058741294487,-5.462434904451169e-5,1.0491898040486636
107,0.7266504246678314,-0.006655449461617363,0.6980881714028163
108,0.7287810419468164,0.0021306172789850378,2.184721741511769
109,0.7352514162586171,0.006470374311800708,1.3966418652467347
