t,dim_1,dim_2,dim_3
238,3.4266698528044195,-3.831202303107831,-5.200418130975956
239,3.228609174281244,-4.091223249730365,-4.886673855962868
240,3.0179396297656798,-4.3355569806167935,-4.553389074448582
241,2.79547000125477,-4.563226470270659,-4.201599362715639
242,2.562056632355722,-4.773306472028768,-3.832421209904949
243,2.318600731544883,-4.964927563611494,-3.4470656052538065
244,2.0660454666608215,-5.137280872226814,-3.0468499730031517
245,1.8053727945231957,-5.289623395926605,-2.6332837750682345
246,1.5375999564940461,-5.4212876065539435,-2.2079866866439635
247,1.2637755237342962,-5.531686959306384,-1.7726160543850078
248,0.984975330724202,-5.620317776697033,-1.3289725100758722
249,0.7022981530887854,-5.686766413214082,-0.8789078007846499
250,0.4168611233126476,-5.73071181054835,-0.42426601934317243
251,0.12979512449931233,-5.751925115022456,0.03307625682183971
252,-0.1577598653172091,-5.750271301718986,0.4911796756222498
253,-0.4446595393258347,-5.725712313299636,0.9480079416352705
254,-0.7297602255653141,-5.678311907554555,1.4015108205057847
255,-1.0119240120211819,-5.608236353885765,1.8496869957900857
256,-1.2900238009280858,-5.515751987454889,2.2905419533755857
257,-1.5629482914788448,-5.401224869713756,2.7222184796191797
258,-1.8296068223288546,-5.2651139226372425,3.143103029722314
259,-2.088933704174822,-5.107958744830512,3.551633539837825
260,-2.3398921654314218,-4.930377038221011,3.9461794958149237
261,-2.581478358095815,-4.7330680305565,4.325102610335589
262,-2.812725443013548,-4.516812864083316,4.68681818411837
263,-3.032707625914891,-4.282471915799629,5.029775215206964
264,-3.2405440571171193,-4.030983113239946,5.352512971313527
265,-3.4354026273209746,-3.7633574200871394,5.653654111736938
266,-3.616503481219832,-3.480674667386449,5.931870009326576
267,-3.783122423362103,-3.1840811174920485,6.185950429297715
268,-3.934594077497868,-2.8747835447841994,6.414863091734048
269,-4.0703147069455845,-2.5540403374008798,6.6177658596382
270,-4.189744541853626,-2.2231519903542187,6.793953286467947
271,-4.292409725808622,-1.8834542706638069,6.942782773227878
272,-4.377903979254869,-1.5363150757164168,7.063699007847167
273,-4.445890121868146,-1.1831300684086985,7.15631490458613
274,-4.496101242987331,-0.825314265697558,7.220331504057137
275,-4.528341549827041,-0.4642976326161223,7.255508001429992
276,-4.542487050857468,-0.10152217444597728,7.261690192789731
277,-4.53848604470004,0.2615623931852191,7.238849794707525
278,-4.5163593570955936,0.6235049406272192,7.1870848139527235
279,-4.476200244870146,0.9828592385726455,7.1065812311503045
280,-4.418174040040134,1.3381883565598265,6.99765828488336
281,-4.342517527714782,1.6880713261516,6.8607910213828305
282,-4.249537946453469,2.031110931259496,6.696577168916214
283,-4.139611648770731,2.365939842261133,6.505714672780064
284,-4.013182478243704,2.691225626702307,6.2890126781915185
285,-3.8707598891122275,3.005676309316626,6.047433955402772
286,-3.712916739126678,3.3080480536877332,5.782028805497198
287,-3.5402867572769035,3.5971495384056356,5.49386265325657
