n_heads,status,theta_real,empirical_rate,prior_b,iterations,prior_a,execution_time,posterior_mean,converged,posterior_std,n_samples
291.0,success,0.3,0.291,1.0,10,2.0,0.026842117309570312,0.292123629112662,true,0.014351430597190164,1000
483.0,success,0.5,0.483,1.0,10,2.0,0.01581597328186035,0.4835493519441675,true,0.015771316952773593,1000
688.0,success,0.7,0.688,1.0,10,2.0,0.015781879425048828,0.6879361914257228,true,0.014622745610712497,1000
799.0,success,0.8,0.799,1.0,10,2.0,0.015429019927978516,0.7986041874376869,true,0.012656806872345935,1000
291.0,success,0.3,0.291,1.0,10,4.0,0.01581120491027832,0.2935323383084577,true,0.014357377855386159,1000
483.0,success,0.5,0.483,1.0,10,4.0,0.015466928482055664,0.4845771144278607,true,0.01575666524373132,1000
688.0,success,0.7,0.688,1.0,10,4.0,0.016119003295898438,0.6885572139303483,true,0.014600245683913713,1000
799.0,success,0.8,0.799,1.0,10,4.0,0.01571798324584961,0.7990049751243781,true,0.012634800974958378,1000
291.0,success,0.3,0.291,1.0,10,8.0,0.01600480079650879,0.29633300297324083,true,0.014368549067289673,1000
483.0,success,0.5,0.483,1.0,10,8.0,0.026787996292114258,0.48662041625371655,true,0.015727285577064806,1000
688.0,success,0.7,0.688,1.0,10,8.0,0.10605216026306152,0.6897918731417245,true,0.01455542649613918,1000
799.0,success,0.8,0.799,1.0,10,8.0,0.1362290382385254,0.7998017839444995,true,0.01259101087267175,1000
3046.0,success,0.3,0.3046,1.0,10,1.0,0.32976603507995605,0.3046390721855629,true,0.004601853721170081,10000
5006.0,success,0.5,0.5006,1.0,10,1.0,0.26090192794799805,0.5005998800239952,true,0.00499924657068576,10000
6993.0,success,0.7,0.6993,1.0,10,1.0,0.3399770259857178,0.6992601479704059,true,0.004585109854013225,10000
8030.0,success,0.8,0.803,1.0,10,1.0,0.2995431423187256,0.8029394121175765,true,0.003977188183985071,10000
3046.0,success,0.3,0.3046,1.0,10,2.0,0.2536771297454834,0.3047085874237729,true,0.004601918660217288,10000
5006.0,success,0.5,0.5006,1.0,10,2.0,0.2577199935913086,0.5006498050584824,true,0.004998996078276352,10000
6993.0,success,0.7,0.6993,1.0,10,2.0,0.26325011253356934,0.6992902129361191,true,0.004584750061839338,10000
8030.0,success,0.8,0.803,1.0,10,2.0,0.24946904182434082,0.8029591122663201,true,0.00397683938937302,10000
3046.0,success,0.3,0.3046,1.0,10,4.0,0.3206050395965576,0.30484757621189407,true,0.004602048005123141,10000
5006.0,success,0.5,0.5006,1.0,10,4.0,0.2564811706542969,0.5007496251874063,true,0.00499849505696536,10000
6993.0,success,0.7,0.6993,1.0,10,4.0,0.2591280937194824,0.6993503248375812,true,0.004584030627803124,10000
8030.0,success,0.8,0.803,1.0,10,4.0,0.26423001289367676,0.8029985007496252,true,0.003976141978266011,10000
3046.0,success,0.3,0.3046,1.0,10,8.0,0.2625858783721924,0.30512538715156357,true,0.0046023045661274745,10000
5006.0,success,0.5,0.5006,1.0,10,8.0,0.26773500442504883,0.5009491457688081,true,0.004997492869154863,10000
6993.0,success,0.7,0.6993,1.0,10,8.0,0.2632620334625244,0.6994704765710861,true,0.004582592360761044,10000
8030.0,success,0.8,0.803,1.0,10,8.0,0.2652120590209961,0.8030772304925567,true,0.003974747868114541,10000
14.0,success,0.3,0.28,2.0,10,1.0,0.0011739730834960938,0.2830188679245283,true,0.06130059336357839,50
29.0,success,0.5,0.58,2.0,10,1.0,0.0009360313415527344,0.5660377358490566,true,0.06744531631926798,50
