t,dim_1
343,4.538142674413272e-5
344,4.538077249921975e-5
345,4.538011925645935e-5
346,4.537946701582248e-5
347,4.5378815777280144e-5
348,4.5378165540803414e-5
349,4.5377516306363375e-5
350,4.5376868073931185e-5
351,4.537622084347802e-5
352,4.537557461497516e-5
353,4.537492938839382e-5
354,4.537428516370537e-5
355,4.537364194088115e-5
356,4.537299971989259e-5
357,4.537235850071113e-5
358,4.5371718283308276e-5
359,4.537107906765556e-5
360,4.5370440853724614e-5
361,4.5369803641487035e-5
362,4.536916743091455e-5
363,4.536853222197882e-5
364,4.5367898014651655e-5
365,4.536726480890484e-5
366,4.536663260471025e-5
367,4.5366001402039806e-5
368,4.5365371200865425e-5
369,4.53647420011591e-5
370,4.5364113802892865e-5
371,4.536348660603882e-5
372,4.536286041056909e-5
373,4.536223521645583e-5
374,4.5361611023671237e-5
375,4.5360987832187596e-5
376,4.53603656419772e-5
377,4.535974445301241e-5
378,4.5359124265265596e-5
379,4.53585050787092e-5
380,4.535788689331573e-5
381,4.535726970905766e-5
382,4.5356653525907595e-5
383,4.535603834383814e-5
384,4.535542416282196e-5
385,4.5354810982831745e-5
386,4.5354198803840245e-5
387,4.5353587625820274e-5
388,4.535297744874464e-5
389,4.5352368272586236e-5
390,4.535176009731802e-5
391,4.535115292291288e-5
392,4.535054674934391e-5
393,4.534994157658414e-5
394,4.534933740460663e-5
395,4.53487342333846e-5
396,4.5348132062891215e-5
397,4.5347530893099716e-5
398,4.534693072398335e-5
399,4.5346331555515514e-5
400,4.5345733387669516e-5
401,4.534513622041877e-5
402,4.534454005373678e-5
403,4.5343944887597015e-5
404,4.534335072197302e-5
405,4.534275755683842e-5
406,4.534216539216683e-5
407,4.5341574227931906e-5
408,4.5340984064107426e-5
409,4.5340394900667135e-5
410,4.533980673758485e-5
411,4.533921957483443e-5
412,4.533863341238978e-5
413,4.533804825022484e-5
414,4.5337464088313606e-5
415,4.5336880926630126e-5
416,4.533629876514846e-5
417,4.5335717603842775e-5
418,4.53351374426872e-5
419,4.533455828165596e-5
