time_step,position,velocity,action,engine_force,distance_to_goal,progress_percent,kinetic_energy,potential_energy,cumulative_action_magnitude,cumulative_engine_force,velocity_change,position_change
14,0.23107840989911102,0.002807050079996959,100.0,0.04,0.268921590100889,73.1078409899111,3.939765075805467e-6,0.01125937652045555,1400.0,0.5599999999999999,-0.007404599562401994,0.002807050079996959
15,0.22730317250098311,-0.0037752373981279064,100.0,0.04,0.2726968274990169,72.73031725009831,7.126208706111782e-6,0.011084369175114522,1500.0,0.6,-0.006582287478124865,-0.0037752373981279064
16,0.21749394053183824,-0.00980923196914487,100.0,0.04,0.28250605946816176,71.74939405318382,4.8110515912246875e-5,0.01062772731653286,1600.0,0.64,-0.006033994571016964,-0.009809231969144877
17,0.201973999616185,-0.015519940915653237,100.0,0.04,0.298026000383815,70.1973999616185,0.00012043428301268372,0.009899743091025467,1700.0,0.68,-0.005710708946508367,-0.01551994091565323
18,0.1808886037663979,-0.0210853958497871,100.0,0.04,0.3191113962336021,68.08886037663979,0.00022229695907110956,0.008900468124942905,1800.0,0.7200000000000001,-0.005565454934133865,-0.02108539584978711
19,0.15425308371974314,-0.026635520046654752,100.0,0.04,0.3457469162802569,65.42530837197431,0.0003547254640778736,0.007622680158484052,1900.0,0.7600000000000001,-0.005550124196867651,-0.02663552004665476
20,0.12200694755818925,-0.03224613616155388,100.0,0.04,0.37799305244181075,62.20069475581893,0.0005199066486747365,0.006055486553632351,2000.0,0.8000000000000002,-0.005610616114899131,-0.03224613616155389
21,0.08407932385591796,-0.0379276237022713,100.0,0.04,0.415920676144082,58.4079323855918,0.0007192523198505458,0.004189189529832279,2100.0,0.8400000000000002,-0.005681487540717414,-0.03792762370227129
22,0.040469695253516146,-0.04360962860240181,100.0,0.04,0.4595303047464839,54.04696952535162,0.0009508998534197112,0.0020218298478234488,2200.0,0.8800000000000002,-0.005682004900130516,-0.04360962860240181
23,-0.008656397305973437,-0.04912609255948958,100.0,0.04,0.5086563973059735,49.134360269402656,0.0012066864850817688,-0.00042907320458272866,2300.0,0.9200000000000003,-0.005516463957087769,-0.04912609255948958
24,-0.06200424087891671,-0.053347843572943275,100.0,0.04,0.5620042408789168,43.799575912108324,0.0014229962069416127,-0.0029079857495972992,2400.0,0.9600000000000003,-0.004221751013453692,-0.053347843572943275
25,-0.11381687600667399,-0.05181263512775728,100.0,0.04,0.613816876006674,38.6183123993326,0.0013422745794410538,-0.00504312973713777,2500.0,1.0000000000000002,0.0015352084451859954,-0.05181263512775728
26,-0.15906656002098815,-0.04524968401431415,100.0,0.04,0.6590665600209882,34.09334399790118,0.0010237669516976388,-0.006688219475203876,2600.0,1.0400000000000003,0.006562951113443127,-0.04524968401431416
27,-0.19388461963177206,-0.034818059610783915,100.0,0.04,0.6938846196317721,30.611538036822793,0.000606148637530051,-0.007814668695100757,2700.0,1.0800000000000003,0.010431624403530237,-0.03481805961078391
28,-0.2158324113183004,-0.02194779168652832,100.0,0.04,0.7158324113183003,28.416758868169968,0.00024085277995762085,-0.008462439077141419,2800.0,1.1200000000000003,0.012870267924255593,-0.02194779168652833
29,-0.22400218270434583,-0.008169771386045445,100.0,0.04,0.7240021827043458,27.59978172956542,3.337258225012345e-5,-0.008691260242401735,2900.0,1.1600000000000004,0.013778020300482877,-0.008169771386045438
30,-0.21895475868135214,0.005047424022993678,100.0,0.04,0.7189547586813522,28.104524131864782,1.2738244633946844e-5,-0.00855067861660715,3000.0,1.2000000000000004,0.013217195409039123,0.005047424022993685
31,-0.20251660119252263,0.016438157488829527,100.0,0.04,0.7025166011925226,29.748339880747743,0.00013510651081378113,-0.008075181371697568,3100.0,1.2400000000000004,0.01139073346583585,0.016438157488829513
32,-0.1774705993333238,0.02504600185919884,100.0,0.04,0.6774705993333238,32.25294006666763,0.0003136511045654958,-0.007298739285279732,3200.0,1.2800000000000005,0.008607844370369312,0.025046001859198835
33,-0.14718213772671246,0.030288461606611333,100.0,0.04,0.6471821377267124,35.28178622732876,0.0004586954532475844,-0.006275977803045375,3300.0,1.3200000000000005,0.005242459747412494,0.030288461606611333
