t,mu,var,truth,obs,residual,abs_residual,residual2
68.0,2.402136851620855,5.2635778995170215,4.94113351138609,3.801280781911868,2.5389966597652345,2.5389966597652345,6.446504038299018
69.0,3.8910605724511766,5.301099378360342,5.784397643882002,6.422769621534778,1.8933370714308255,1.8933370714308255,3.584725266054255
70.0,4.949885356424802,5.32945914997498,6.569865987187891,9.531813992355932,1.6199806307630888,1.6199806307630888,2.624337244047575
71.0,6.236055264349076,5.356557911078035,7.289690401258765,10.89938569924535,1.0536351369096888,1.0536351369096888,1.1101470017306987
72.0,6.751052768514153,5.368943912362369,7.936678638491531,11.030547583449337,1.185625869977378,1.185625869977378,1.4057087035596145
73.0,7.485568551654102,5.373410172147945,8.504366206285649,8.920809092519521,1.0187976546315474,1.0187976546315474,1.0379486610827418
74.0,7.347400459711706,5.367341749773325,8.98708095811627,10.23842428748853,1.6396804984045632,1.6396804984045632,2.688552136848237
75.0,7.432018759213358,5.353761022973401,9.379999767747389,12.502796396524873,1.9479810085340308,1.9479810085340308,3.79463000960926
76.0,6.641961865702433,5.34060012292671,9.679196720314865,13.609973299851996,3.037234854612432,3.037234854612432,9.224795562072602
77.0,5.368036388068825,5.336955038834249,9.881682338770004,9.932472419559161,4.513645950701179,4.513645950701179,20.372999768281147
78.0,4.787732608956749,5.328395554848269,9.98543345374605,9.989856456772673,5.1977008447893,5.1977008447893,27.016094071923405
79.0,3.6626950988067075,5.324666227823526,9.98941341839772,6.063814507409404,6.326718319591013,6.326718319591013,40.027364695448526
80.0,2.668044571555337,5.321908469808678,9.893582466233818,12.337453526776958,7.225537894678482,7.225537894678482,52.20839786743475
81.0,0.672857344471877,5.346901367647086,9.698898108450862,9.530018444767622,9.026040763978985,9.026040763978985,81.46941187301034
82.0,-1.1705199076433725,5.386396718577754,9.407305566797726,6.993308041965132,10.577825474441099,10.577825474441099,111.89039176773505
83.0,-2.0383774764379283,5.412935557685748,9.021718337562932,8.007293962986916,11.06009581400086,11.06009581400086,122.32571941487934
84.0,-3.0161670676092016,5.431776760067146,8.545989080882805,7.905331411492542,11.562156148492006,11.562156148492006,133.6834548021115
85.0,-4.216805242035321,5.4491326424366076,7.984871126234903,14.402302123971943,12.201676368270224,12.201676368270224,148.88090619600405
86.0,-5.4992648969576265,5.46708963823167,7.343970978741133,13.03690464099553,12.84323587569876,12.84323587569876,164.9487077588357
87.0,-6.22248885561588,5.476191290172107,6.62969230082182,6.930967106422037,12.8521811564377,12.8521811564377,165.1785604778923
88.0,-6.715248022545282,5.476672438973052,5.849171928917617,8.429590051184803,12.564419951462899,12.564419951462899,157.86464871671896
89.0,-6.3641809670532545,5.4700636214710014,5.010208564578846,1.2555367151557566,11.3743895316321,11.3743895316321,129.37673721730192
90.0,-6.261312548786929,5.4575751326391195,4.121184852417566,5.566201495832841,10.382497401204496,10.382497401204496,107.79625228601812
91.0,-5.414789553129449,5.446414304748655,3.1909836234935214,4.143547037321383,8.60577317662297,8.60577317662297,74.0593319674834
92.0,-5.653576158344444,5.431211768199567,2.2288991410024592,4.734744177236079,7.882475299346904,7.882475299346904,62.133416844814064
93.0,-4.758189008237895,5.418827895329925,1.244544235070617,-2.0281077886436005,6.002733243308512,6.002733243308512,36.03280639032113
94.0,-3.3781975580519483,5.416844106572375,0.24775425453357763,-1.3839677163705852,3.625951812585526,3.625951812585526,13.147526547192262
95.0,-1.9480973567593178,5.423318506450383,-0.751511204618093,4.330570650351772,1.1965861521412249,1.1965861521412249,1.4318184194961425
96.0,-1.0312417752678225,5.426796645124017,-1.743267812229814,1.5324252198959232,-0.7120260369619915,0.7120260369619915,0.5069810773117993
97.0,-0.44413252389223823,5.424521478319123,-2.717606264109442,4.125807205358419,-2.2734737402172036,2.2734737402172036,5.168682847457201
98.0,0.613121799991924,5.4237435975870145,-3.6647912925192836,-4.894006678226452,-4.277913092511207,4.277913092511207,18.300540427078804
99.0,1.7833843553423656,5.425847523874459,-4.575358937753214,-3.132182786362086,-6.35874329309558,6.35874329309558,40.43361626748803
100.0,3.1253798329773055,5.43310215661891,-5.440211108893697,-8.838114393514516,-8.565590941871003,8.565590941871003,73.36934818346258
101.0,4.195107904035383,5.439343850834898,-6.250706488928834,-8.051274619206435,-10.445814392964216,10.445814392964216,109.11503833225838
102.0,5.7852176703781355,5.45467906012502,-6.998746875935437,-8.607562817679037,-12.783964546313573,12.783964546313573,163.4297495214024
