t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
56,-10.93565326144114,-7.683304131803532,-1.579735119610819,0.0142528426183852,0.021039797351647634,0.12155137155780692
57,-11.711882348732253,-7.841277641891507,-1.5694492568198277,0.014252400982343202,0.021039775732059625,0.12154726134074287
58,-12.50385735675893,-7.998222565945028,-1.5701058394683465,0.014251954965902267,0.02103976848939318,0.12154440923810578
59,-13.311530141362374,-8.15523314838222,-1.580568945589525,0.014251529063987972,0.02103971062006126,0.1215425631715254
60,-14.13495630044083,-8.31329004148033,-1.6003147934710296,0.014251141943918407,0.021039570776549426,0.12154147210905804
61,-14.974286877813421,-8.47332151944086,-1.6289588467359848,0.014250805781955228,0.021039342993089523,0.12154090612809813
62,-15.829763822641565,-8.636217402862856,-1.6658472244460396,0.014250526514675206,0.021039038580934154,0.1215406692664283
63,-16.70171479736853,-8.802802124224012,-1.710032683341937,0.01425030470082391,0.02103867889605731,0.12154060588809533
64,-17.5905451704985,-8.973805391745648,-1.760143134502005,0.014250136720171584,0.021038289399807293,0.12154060173065644
65,-18.49672642198374,-9.149819704719476,-1.8142814047512068,0.014250016084180353,0.021037895190258307,0.12154058099671329
66,-19.420779796411814,-9.331247845024993,-1.8704382890024078,0.01424993468930242,0.021037517991230326,0.12154050085692493
67,-20.36325676979323,-9.518291674012232,-1.926853250521677,0.014249883899797288,0.021037174450934355,0.12154034459918905
68,-21.32472020080663,-9.710976999415452,-1.9818992583408226,0.014249855397619464,0.021036875520145486,0.12154011444215802
69,-22.30572739498893,-9.90916692580568,-2.0341102613596744,0.014249841778830577,0.021036626643515986,0.12153982477640995
70,-23.30681463751218,-10.112577952634233,-2.082419049092351,0.014249836907596914,0.021036428497505883,0.12153949633966116
71,-24.32848452745624,-10.320819858292463,-2.1262228303310575,0.014249836060058453,0.02103627803404072,0.12153915159931072
72,-25.371197627634707,-10.53344214205486,-2.1654068408217864,0.014249835902150294,0.021036169630501447,0.12153881142243458
73,-26.43536887678806,-10.74998282679192,-2.200265249398826,0.014249834349417742,0.021036096195392377,0.12153849296758021
74,-27.52136848553182,-10.97000935240499,-2.230973472268835,0.014249830354890245,0.02103605012819623,0.12153820863502289
75,-28.62952429147553,-11.193106699970837,-2.25851882453997,0.014249823665094643,0.021036024076601163,0.12153796585827056
76,-29.76012755618904,-11.418958582704459,-2.28413116893098,0.014249814576053997,0.021036011471427373,0.12153776750221888
77,-30.913444069909527,-11.647371699916679,-2.3078727202052467,0.014249803712103548,0.021036006847756934,0.12153761264365526
78,-32.08972060171957,-11.87815897243458,-2.3290630777099266,0.014249791841677753,0.02103600597983851,0.12153749753883379
79,-33.28918181073939,-12.11106528106411,-2.3460163527968185,0.01424977973664148,0.021036005868082297,0.1215374166223482
80,-34.51201841686664,-12.345666917576635,-2.3564339991022214,0.014249768075685135,0.02103600462025911,0.12153736342467175
81,-35.758367278352,-12.581310318746501,-2.3590625928755213,0.01424975738793341,0.021036001267517417,0.12153733133723635
82,-37.02829362401913,-12.817216579210854,-2.3540772284622,0.014249748030174586,0.02103599555073212,0.12153731419024415
83,-38.32178566679952,-13.052624303362162,-2.3413357605205096,0.014249740189801716,0.021035987705545565,0.12153730663748444
84,-39.63875477620175,-13.286757880692965,-2.3205195805004513,0.01424973390538808,0.02103597826656388,0.1215373043635528
85,-40.97903316352138,-13.518809839887055,-2.292132201167465,0.014249729097481111,0.021035967903522523,0.12153730414227093
86,-42.34237480861091,-13.748023061138296,-2.256624502126781,0.014249725603389125,0.021035957295519565,0.12153730378173148
87,-43.728460238213074,-13.973685512387704,-2.2143317000882567,0.014249723211184525,0.02103594704402577,0.12153730199256288
88,-45.136900450799736,-14.195118683148424,-2.166449164579873,0.014249721689639297,0.021035937621465186,0.12153729821320096
89,-46.56724457068544,-14.411763599783626,-2.1156629656629264,0.014249720812185845,0.02103592934967792,0.12153729242060254
90,-48.01899925204782,-14.623329895871551,-2.0658179797274374,0.01424972037415817,0.021035922401359788,0.12153728494821131
91,-49.49166133330615,-14.829911693188697,-2.019516779810078,0.014249720203461755,0.021035916817375832,0.12153727632610964
92,-50.98475008903152,-15.031863370263332,-1.9780968786074253,0.014249720165440028,0.021035912533393177,0.12153726715191947
93,-52.49782691076643,-15.229673057186089,-1.9424404616921231,0.014249720163064635,0.021035909410301448,0.1215372579956244
94,-54.030506416755436,-15.423917102621125,-1.912009246782263,0.014249720133722023,0.021035907264155683,0.12153724933733205
95,-55.58245817207199,-15.61511802668321,-1.8857977566735056,0.014249720043843343,0.02103590589268641,0.12153724153412537
96,-57.1533989639101,-15.80369780169579,-1.8635581443891227,0.014249719882483773,0.021035905096638503,0.12153723481047775
97,-58.74308653186147,-15.99005361577393,-1.8444923544408014,0.014249719654747164,0.021035904695232636,0.121537229266051
98,-60.35131435523428,-16.174502850854914,-1.827688841802093,0.014249719375713475,0.021035904535840505,0.12153722489482549
